Vendor Name,Author,Unnamed: 2
The Cocktail Club Goodge Street,londoncocktailclub,
The Cocktail Trading Co Smithfield,thecocktailtradingco,
The Connaught,theconnaught,
The Conran Shop,theconranshopofficial,
The Crooked Billet,crookedbillet,
The Cutty Sark,cuttysarkpub,
The Devonshire,thedevbalham,
The Dog And Fox,thedogandfox,
The Drift,thedriftbarlondon,
The Duchess Of Kent,theduchessn7,
The Duke’S Head Putney,dukesheadputney,
The Eagle,theeaglew12,
The Earlsfield,theearlsfield,
The Escapologist,escapologistbar,
The Exhibit,theexhibitbar,
The Faber Fox,thefaberfox,
The Falcon,falconclapham,
The Fish Hotel,thefishhotel,
The Flask,flaskhampstead,
The Flying Horse,flyinghorse52,
The Gate,thegate_hotel,
The Grand,theclaphamgrand,
The Grange Ealing,thegrangeealing,
The Grazing Goat,thegrazinggoatw1,
The Green Room,greenroomlondon,
The Greyhound,thegreyhoundsydenham,
The Guard House,theguardhouse,
The Guinea,guineagrill,
The Gunpowder Plot,gunpowderimmersive,
The Half Moon,halfmoonputney,
The Hare & Hounds,hare_hounds,
The Hawk’S Nest,thehawksnestldn,
The Honor Oak,thehonoroakpub,
The Hundred,thehundred,
The Ivy Cafe,theivystjohnswood,
The Jolly Gardeners,thejollygardeners,
"The Kensington, London",hotelkensington,
The Lighthouse Battersea,lighthousesw11,
The Lillie Langtry – Hippo Inns,thelillielangtry,
The Lion & Unicorn,thelionunicorn,
The Lion King,thelionkinguk,
The Little Blue Door,thelittlebluedoorfulham,
The Little Mermaid Cocktail Experience,littlemermaidexperience,
The Little Orange Door,thelittleorangedoor,
The Little Yellow Door,the_little_yellow_door,
The Loft Spitalfields,theloftspitalfields,
The Lois Edit Blog,the_lois_edit,
The London Bridge Experience,thelondonbridgeexperience,
The London Cabaret Club,thelondoncabaretclub,
The London Dungeon,londondungeon,
The London School of Makeup,londonschoolofmakeup,
The Lord Palmerston,palmerstonpub,
The Lord Wargrave,lordwargrave,
The Lyttelton Arms Camden,lytteltonarms,
The Mac Factory,themacfactorylondon,
The Magic Circle,magiccirclehq,
The Mandrake,themandrakehotel,
The Manor Arms,manorarmssw16,
The Manor House,themanor_house,
The Marlborough,marlboroughrichmond,
The Marquis Cornwallis,themarquiscornwalliswc1,
"The Marylebone, London",hotelmarylebone,
The May Fair London,themayfairhotel,
The Mayflower,mayflowerpub,
The Merchant,themerchantbrentwood,
The Mere Scribbler,merescribblersw,
The Mews Bridal,themewsbridal,
The Midland Hotel,themidlandmanchester,
The Mitre Lancaster Gate,themitrelancastergate,
The Montague On The Gardens Hotel,montague_hotel,
The Montpelier,themontpelier,
The Morpeth Arms,morpetharms,
